data;
param D  := 36;
param E  := 12;
param N  := 9;
param Pd := 5;
param S :=12;


param: link_src    link_dest   link_capacity	link_cost:=
    1      1            2         10				1			
    2	   1            4         10				1			
    3	   2            3         10				1			
    4	   2            5         10				1			
    5	   3            6         10				1			
    6	   4            5         10				1			
    7	   4            7         10				1			
    8	   5            6         10				1			
    9	   5            8         10				1			
    10	   6            9         10				1			
    11	   7            8         10				1			
    12     8           9          10				1			;   
 

param: demand_src    demand_dest   h  :=
    1      1            2         7			
    2      1            3         7  
    3	   1            4         7 
    4	   1            5         7 
    5	   1            6         7 
    6	   1            7         7 
    7	   1            8         7 
    8	   1            9         7 
    9	   2            3         7 
    10	   2            4         7 
    11	   2            5         7 
    12	   2            6         7 
    13	   2            7         7 
    14	   2            8         7 
    15	   2            9         7 
    16	   3            4         7 
    17	   3            5         7 
    18	   3            6         7 
    19	   3            7         7 
    20	   3            8         7 
    21	   3            9         7 
    22	   4            5         7 
    23	   4            6         7 
    24	   4            7         7 
    25	   4            8         7 
    26	   4            9         7 
    27	   5            6         7 
    28	   5            7         7
    29	   5            8         7
    30	   5            9         7
    31	   6            7         7
    32	   6            8         7
    33	   6            9         7
    34	   7            8         7
    35	   7            9         7
    36   	8           9         7;
    
param:  dc :=
1	1	1
1	2	1
1	3	1
1	4	1
1	5	1
1	6	1
1	7	1
1	8	1
1	9	1
1	10	1
1	11	1
1	12	1
2	1	1
2	2	1
2	3	1
2	4	1
2	5	1
2	6	1
2	7	1
2	8	1
2	9	1
2	10	1
2	11	1
2	12	1
3	1	1
3	2	1
3	3	1
3	4	1
3	5	1
3	6	1
3	7	1
3	8	1
3	9	1
3	10	1
3	11	1
3	12	1
4	1	1
4	2	1
4	3	1
4	4	1
4	5	1
4	6	1
4	7	1
4	8	1
4	9	1
4	10	1
4	11	1
4	12	1
5	1	1
5	2	1
5	3	1
5	4	1
5	5	1
5	6	1
5	7	1
5	8	1
5	9	1
5	10	1
5	11	1
5	12	1
6	1	1
6	2	1
6	3	1
6	4	1
6	5	1
6	6	1
6	7	1
6	8	1
6	9	1
6	10	1
6	11	1
6	12	1
7	1	1
7	2	1
7	3	1
7	4	1
7	5	1
7	6	1
7	7	1
7	8	1
7	9	1
7	10	1
7	11	1
7	12	1
8	1	1
8	2	1
8	3	1
8	4	1
8	5	1
8	6	1
8	7	1
8	8	1
8	9	1
8	10	1
8	11	1
8	12	1
9	1	1
9	2	1
9	3	1
9	4	1
9	5	1
9	6	1
9	7	1
9	8	1
9	9	1
9	10	1
9	11	1
9	12	1
10	1	1
10	2	1
10	3	1
10	4	1
10	5	1
10	6	1
10	7	1
10	8	1
10	9	1
10	10	1
10	11	1
10	12	1
11	1	1
11	2	1
11	3	1
11	4	1
11	5	1
11	6	1
11	7	1
11	8	1
11	9	1
11	10	1
11	11	1
11	12	1
12	1	1
12	2	1
12	3	1
12	4	1
12	5	1
12	6	1
12	7	1
12	8	1
12	9	1
12	10	1
12	11	1
12	12	1
13	1	1
13	2	1
13	3	1
13	4	1
13	5	1
13	6	1
13	7	1
13	8	1
13	9	1
13	10	1
13	11	1
13	12	1
14	1	1
14	2	1
14	3	1
14	4	1
14	5	1
14	6	1
14	7	1
14	8	1
14	9	1
14	10	1
14	11	1
14	12	1
15	1	1
15	2	1
15	3	1
15	4	1
15	5	1
15	6	1
15	7	1
15	8	1
15	9	1
15	10	1
15	11	1
15	12	1
16	1	1
16	2	1
16	3	1
16	4	1
16	5	1
16	6	1
16	7	1
16	8	1
16	9	1
16	10	1
16	11	1
16	12	1
17	1	1
